"State","2022 Flux Estimate (MMT CO2 Eq.)","Lower Bound (MMT CO2 Eq.)","Upper Bound (MMT CO2 Eq.)","Lower Bound (Percent)","Upper Bound (Percent)"
"Alabama",-13.45,-15.28,-11.62,-13.6,13.6
"Alaska",7.05,-0.05,14.15,-100.71,100.71
"Arizona",0.57,0.17,0.96,-70.21,70.21
"Arkansas",-9.33,-10.89,-7.76,-16.81,16.81
"California",-7.96,-15.96,0.03,-100.38,100.38
"Colorado",2.27,-6.25,10.8,-375.26,375.26
"Connecticut",-0.81,-1.09,-0.53,-34.91,34.91
"Delaware",-0.03,-0.06,0,-104.83,104.83
"Florida",-3.38,-4.05,-2.71,-19.74,19.74
"Georgia",-8.85,-9.34,-8.36,-5.55,5.55
"Hawaii",-0.89,-5.25,3.47,-490.44,490.44
"Idaho",-0.14,-3.65,3.38,-2569.94,2569.94
"Illinois",-1.96,-2.95,-0.97,-50.68,50.68
"Indiana",-3.03,-4.62,-1.44,-52.6,52.6
"Iowa",-0.97,-1.29,-0.66,-32.4,32.4
"Kansas",-0.8,-1.22,-0.38,-52.5,52.5
"Kentucky",-6.21,-7.77,-4.64,-25.22,25.22
"Louisiana",-7,-7.47,-6.52,-6.75,6.75
"Maine",-5.1,-8.12,-2.09,-59.03,59.03
"Maryland",-1.36,-1.89,-0.83,-38.8,38.8
"Massachusetts",-1.36,-1.74,-0.99,-27.43,27.43
"Michigan",-5.94,-9.54,-2.35,-60.45,60.45
"Minnesota",-5.33,-7.64,-3.02,-43.4,43.4
"Mississippi",-15.87,-18.73,-13,-18.05,18.05
"Missouri",-4.78,-7.36,-2.21,-53.84,53.84
"Montana",1.36,-6.64,9.36,-588.36,588.36
"Nebraska",-0.28,-0.34,-0.23,-19,19
"Nevada",-0.06,-0.33,0.21,-459.55,459.55
"New Hampshire",-1.69,-2.29,-1.09,-35.54,35.54
"New Jersey",-0.94,-1.03,-0.85,-9.59,9.59
"New Mexico",0.27,-1.65,2.19,-713.34,713.34
"New York",-8.85,-11.15,-6.55,-25.98,25.98
"North Carolina",-8.86,-10.12,-7.61,-14.21,14.21
"North Dakota",-0.06,-0.16,0.04,-159.32,159.32
"Ohio",-3.9,-5.97,-1.82,-53.25,53.25
"Oklahoma",-2.79,-3.42,-2.16,-22.48,22.48
"Oregon",-10.68,-12.78,-8.58,-19.67,19.67
"Pennsylvania",-6.17,-10.63,-1.71,-72.23,72.23
"Rhode Island",-0.12,-0.27,0.02,-115.38,115.38
"South Carolina",-4.28,-4.82,-3.74,-12.62,12.62
"South Dakota",0.31,-0.02,0.64,-107.43,107.43
"Tennessee",-7.77,-9.27,-6.26,-19.37,19.37
"Texas",-10.67,-11.19,-10.16,-4.84,4.84
"Utah",0.41,-0.97,1.8,-336.95,336.95
"Vermont",-1.65,-2.36,-0.94,-43.14,43.14
"Virginia",-9.81,-12.55,-7.07,-27.93,27.93
"Washington",-4.62,-9.25,0,-100.03,100.03
"West Virginia",-7.33,-9.06,-5.6,-23.63,23.63
"Wisconsin",-6.47,-6.93,-6.01,-7.13,7.13
"Wyoming",0.2,-0.44,0.84,-319.01,319.01
"U.S. Territories",-0.49,-0.86,-0.13,-73.46,73.46
