"State","Carbon Pools","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Alabama","Total Forest Ecosystem",1178.35,1191.98,1205.61,1219.24,1232.86,1246.49,1260.12,1273.74,1287.37,1300.88,1314.27,1327.55,1340.72,1353.77,1366.7,1379.51,1392.41,1405.39,1418.46,1431.6,1444.82,1458.13,1471.52,1485.08,1498.8,1512.69,1526.76,1540.99,1555.39,1569.6,1583.62,1597.45,1611.09,1624.54
"Alabama","Aboveground Biomass",297.31,307.46,317.61,327.76,337.91,348.06,358.21,368.36,378.51,388.56,398.53,408.41,418.2,427.9,437.5,447.02,456.59,466.22,475.91,485.65,495.45,505.3,515.21,525.25,535.4,545.67,556.07,566.59,577.23,587.73,598.1,608.32,618.41,628.36
"Alabama","Belowground Biomass",50.87,52.88,54.89,56.89,58.9,60.9,62.9,64.9,66.9,68.89,70.85,72.8,74.74,76.66,78.56,80.45,82.35,84.28,86.22,88.18,90.15,92.15,94.16,96.2,98.28,100.39,102.54,104.71,106.92,109.11,111.26,113.39,115.5,117.57
"Alabama","Dead Wood",40.72,42.1,43.48,44.86,46.23,47.61,48.99,50.36,51.73,53.1,54.45,55.79,57.12,58.45,59.76,61.06,62.37,63.69,65.01,66.34,67.67,69.01,70.36,71.71,73.08,74.47,75.86,77.26,78.68,80.08,81.47,82.85,84.21,85.56
"Alabama","Litter",45.19,45.57,45.96,46.34,46.73,47.11,47.49,47.88,48.26,48.63,49,49.36,49.72,50.06,50.4,50.74,51.06,51.38,51.68,51.98,52.27,52.56,52.83,53.1,53.35,53.59,53.81,54.03,54.23,54.42,54.61,54.78,54.95,55.1
"Alabama","Soil (Mineral)",739.07,738.77,738.47,738.17,737.88,737.59,737.3,737.01,736.73,736.45,736.19,735.93,735.68,735.43,735.2,734.97,734.75,734.55,734.35,734.16,733.98,733.81,733.66,733.51,733.38,733.26,733.16,733.07,732.99,732.92,732.84,732.76,732.68,732.6
"Alabama","Soil (Organic)",5.2,5.21,5.21,5.22,5.22,5.23,5.23,5.24,5.24,5.25,5.25,5.26,5.26,5.27,5.27,5.27,5.28,5.28,5.29,5.29,5.3,5.3,5.3,5.31,5.31,5.32,5.32,5.32,5.33,5.33,5.34,5.34,5.34,5.35
"Alaska","Total Forest Ecosystem",10744.19,10745.58,10748.61,10754.24,10759.52,10764.79,10770.09,10775.11,10780.87,10785.16,10788.23,10792.01,10797.11,10793.04,10797.32,10777.91,10772.47,10777.62,10782.37,10788.46,10783.64,10786.81,10792.51,10797,10795.52,10801.79,10781.68,10787.28,10793.33,10798.32,10790.63,10796.58,10801.29,10794.24
"Alaska","Aboveground Biomass",938.5,942.57,947.14,952.25,957.27,962.38,967.52,972.53,977.74,982.83,987.53,992.5,997.7,1001.44,1006.44,1007.16,1010.36,1015.69,1020.85,1026.31,1030.43,1035.45,1040.86,1045.96,1049.73,1055.3,1055.03,1060.5,1065.96,1071.26,1072.84,1078.34,1083.51,1085.15
"Alaska","Belowground Biomass",159.46,160.08,160.78,161.56,162.33,163.12,163.91,164.68,165.48,166.27,167,167.78,168.59,169.19,169.97,170.17,170.7,171.53,172.33,173.18,173.86,174.65,175.5,176.29,176.91,177.78,177.8,178.66,179.51,180.34,180.63,181.5,182.31,182.6
"Alaska","Dead Wood",298.56,297.98,297.53,297.3,297.05,296.8,296.57,296.29,296.07,295.5,295.06,294.66,294.33,293.36,292.95,289.88,288.55,288.27,287.9,287.71,286.41,285.8,285.49,285.15,284.22,284.05,281.42,281.17,281,280.78,279.56,279.36,279.09,278.11
"Alaska","Litter",1467.83,1465.18,1463.46,1463.48,1463.29,1462.98,1462.63,1462.22,1462.25,1461.29,1459.44,1457.93,1457.42,1450.05,1449.04,1431.84,1424.06,1423.41,1422.62,1422.66,1414.42,1412.44,1412.25,1411.23,1406.35,1406.4,1389.23,1388.81,1388.75,1387.9,1379.59,1379.43,1378.47,1370.51
"Alaska","Soil (Mineral)",2775.04,2775.02,2775,2774.98,2774.96,2774.94,2774.93,2774.91,2774.89,2774.87,2774.85,2774.84,2774.82,2774.8,2774.78,2774.77,2774.75,2774.74,2774.72,2774.71,2774.7,2774.68,2774.67,2774.66,2774.65,2774.64,2774.63,2774.63,2774.62,2774.61,2774.61,2774.6,2774.6,2774.6
"Alaska","Soil (Organic)",5104.79,5104.75,5104.71,5104.66,5104.62,5104.58,5104.53,5104.49,5104.44,5104.39,5104.35,5104.3,5104.25,5104.2,5104.15,5104.09,5104.04,5103.99,5103.94,5103.89,5103.84,5103.79,5103.75,5103.7,5103.66,5103.61,5103.57,5103.53,5103.48,5103.44,5103.4,5103.35,5103.31,5103.26
