"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Alabama","CO2",,,,0.09,0.02,0.02,0.1,0.01,0.11,0.07,0.2,0.25,0.17,0.22,0.8,1.51,2.08,0.68,2.09,0.89,0.73,1.15,0.21,1.05,1.38,1.55,0.84,0.8,0.7,0.53,0.59,0.88,0.43
"Alabama","CH4",,,,0,0,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.04,0.08,0.11,0.04,0.1,0.05,0.04,0.06,0.01,0.06,0.07,0.08,0.05,0.04,0.04,0.03,0.03,0.05,0.02
"Alabama","N2O",,,,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.04,0.07,0.09,0.03,0.09,0.04,0.03,0.05,0.01,0.05,0.06,0.07,0.04,0.04,0.03,0.02,0.03,0.04,0.02
"Alaska","CO2",43.22,19.53,0.76,12.03,6.93,0.97,4.7,0.79,6.39,15.16,13.16,3.38,61.06,14.98,195.83,113.55,3.04,6.61,1.61,68.68,6.95,3.28,1.02,37.4,0.39,121.31,1.88,5.82,7.09,33.97,0.43,6.76,57.44
"Alaska","CH4",2.66,1.2,0.05,0.76,0.45,0.06,0.3,0.05,0.42,0.99,0.84,0.22,3.96,0.96,12.52,7.3,0.19,0.42,0.11,4.45,0.44,0.21,0.06,2.43,0.02,7.86,0.11,0.37,0.45,2.15,0.03,0.43,3.69
"Alaska","N2O",1.9,0.86,0.03,0.53,0.3,0.04,0.21,0.03,0.28,0.67,0.58,0.15,2.69,0.66,8.61,5,0.13,0.29,0.07,3.02,0.31,0.14,0.04,1.65,0.02,5.34,0.08,0.26,0.31,1.49,0.02,0.3,2.53
"Arizona","CO2",0.36,0,0.06,0.72,1.03,0.76,1.94,0.18,0.81,1.39,1.14,0.67,4.91,2.45,2.18,0.73,1.85,0.71,0.88,1.5,0.63,7.35,0.66,0.4,1.82,1,1.6,2.85,1.91,1.47,1.54,1.76,0.57
"Arizona","CH4",0.02,0,0,0.04,0.06,0.04,0.12,0.01,0.05,0.09,0.07,0.04,0.3,0.15,0.14,0.04,0.11,0.05,0.05,0.09,0.04,0.46,0.04,0.02,0.11,0.06,0.1,0.17,0.12,0.09,0.09,0.09,0.04
"Arizona","N2O",0.02,0,0,0.03,0.05,0.03,0.09,0.01,0.04,0.06,0.05,0.03,0.22,0.11,0.1,0.03,0.08,0.03,0.04,0.07,0.03,0.32,0.03,0.02,0.08,0.04,0.07,0.13,0.08,0.06,0.07,0.08,0.03
"Arkansas","CO2",0,,,,0.02,0.06,0.05,,0.34,0.12,0.58,0.37,0.59,2.96,2.06,1.59,2.74,3.19,2.34,0.71,2.27,1.13,0.52,2.41,1.57,1.06,2.58,1.82,1.71,1.45,1.24,2.38,1.09
"Arkansas","CH4",0,,,,0,0,0,,0.02,0.01,0.03,0.02,0.03,0.15,0.1,0.08,0.14,0.16,0.12,0.03,0.11,0.06,0.03,0.12,0.08,0.05,0.13,0.09,0.09,0.07,0.06,0.12,0.06
"Arkansas","N2O",0,,,,0,0,0,,0.01,0.01,0.03,0.02,0.03,0.13,0.09,0.07,0.12,0.14,0.1,0.03,0.1,0.05,0.02,0.11,0.07,0.05,0.11,0.08,0.08,0.06,0.05,0.1,0.05
"California","CO2",4.29,0.63,4.7,0.9,5.05,1.07,6.54,2.06,0.48,13.73,3.81,5.42,8.77,7.95,3.15,1.32,10,9.82,31.3,6.65,0.73,1.5,9.58,15.34,9.59,18.57,3.6,14.65,24.38,2.68,65.84,76.09,9.62
"California","CH4",0.27,0.05,0.33,0.07,0.37,0.08,0.48,0.14,0.03,1.03,0.29,0.41,0.68,0.62,0.22,0.1,0.78,0.76,2.5,0.5,0.05,0.11,0.76,1.23,0.75,1.36,0.29,1.08,1.69,0.2,5.18,6.14,0.72
