"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Alabama","CH4",,,,0.15,0.03,0.04,0.2,0.01,0.22,0.13,0.36,0.45,0.32,0.42,1.46,2.71,3.76,1.25,3.74,1.72,1.39,2.09,0.39,2.01,2.61,2.87,1.72,1.59,1.48,1.06,1.22,1.85,0.89
"Alabama","N2O",,,,0.01,0,0,0.02,0,0.02,0.01,0.03,0.04,0.03,0.04,0.13,0.25,0.34,0.11,0.35,0.15,0.12,0.19,0.03,0.17,0.23,0.26,0.14,0.13,0.12,0.09,0.1,0.15,0.07
"Alabama","CO",,,,4.35,0.72,1.14,5.31,0.32,5.63,3.84,10.19,12.41,8.47,11.13,38.87,72.7,100.51,34.1,102.63,44.77,37.06,56.5,10.58,52.52,68.99,77.31,45,41.75,37.45,27.5,30.11,45.91,22.23
"Alabama","NOx",,,,0.12,0.02,0.03,0.14,0.01,0.15,0.1,0.26,0.35,0.25,0.31,1.18,2.22,3.04,0.96,2.98,1.25,1.02,1.64,0.29,1.48,1.97,2.19,1.14,1.1,0.96,0.72,0.83,1.23,0.62
"Alaska","CH4",94.84,43.02,1.63,27.08,16.02,2.16,10.71,1.86,15.09,35.32,29.83,7.83,141.43,34.25,447.08,260.75,6.86,15.01,3.82,158.97,15.88,7.56,2.14,86.95,0.89,280.62,4.08,13.39,16.12,76.83,0.9,15.5,131.62
"Alaska","N2O",7.18,3.24,0.13,2,1.15,0.16,0.78,0.13,1.06,2.52,2.19,0.56,10.14,2.49,32.51,18.85,0.5,1.1,0.27,11.4,1.15,0.54,0.17,6.21,0.07,20.14,0.31,0.97,1.18,5.64,0.07,1.12,9.53
"Alaska","CO",2555.17,1156.44,44.43,721.62,421.83,57.86,283.71,48.68,393.95,927.27,792.4,205.69,3722.1,906.21,11839.28,6887.46,182.35,398.22,99.35,4184.42,419.5,199.3,58.77,2284.69,23.52,7388.06,110.43,353.37,427.41,2042.15,24.73,409.56,3478.78
"Alaska","NOx",34.16,15.43,0.6,9.51,5.48,0.77,3.71,0.63,5.05,11.99,10.41,2.67,48.28,11.84,154.82,89.78,2.4,5.23,1.27,54.31,5.49,2.59,0.81,29.58,0.31,95.92,1.49,4.6,5.61,26.86,0.34,5.34,45.42
"Arizona","CH4",0.74,0,0.13,1.6,2.08,1.57,4.26,0.42,1.76,3.08,2.62,1.47,10.62,5.22,5.03,1.5,3.98,1.63,1.86,3.3,1.34,16.61,1.39,0.79,3.91,2.16,3.4,6.09,4.25,3.18,3.08,3.38,1.4
"Arizona","N2O",0.06,0,0.01,0.12,0.17,0.13,0.32,0.03,0.13,0.23,0.19,0.11,0.82,0.41,0.36,0.12,0.31,0.12,0.15,0.25,0.1,1.22,0.11,0.07,0.3,0.17,0.26,0.47,0.32,0.24,0.26,0.29,0.09
"Arizona","CO",14.7,0,2.72,31.85,41.6,31.26,85.17,8.29,35.31,61.43,53.37,29.51,209.5,105.32,102.41,30.07,81.42,33.27,36.75,66.11,26.68,338.85,28.03,15.44,77.66,43.32,68.72,123.36,87.57,64.68,62.2,68.73,28.72
"Arizona","NOx",0.62,0,0.08,1.1,1.67,1.24,3.03,0.29,1.27,2.17,1.61,1.02,8.14,3.76,3.03,1.18,2.77,0.98,1.44,2.32,1,10.36,1.05,0.69,2.96,1.57,2.46,4.4,2.68,2.22,2.52,2.93,0.72
"Arkansas","CH4",0.01,,,,0.03,0.11,0.09,,0.61,0.22,1.12,0.65,1.05,5.19,3.63,2.82,4.88,5.61,4.16,1.25,4.03,2.04,0.93,4.25,2.76,1.85,4.65,3.28,3.07,2.61,2.22,4.3,1.98
"Arkansas","N2O",0,,,,0,0.01,0.01,,0.06,0.02,0.1,0.06,0.1,0.49,0.34,0.26,0.45,0.53,0.39,0.12,0.38,0.19,0.09,0.4,0.26,0.18,0.43,0.3,0.28,0.24,0.21,0.39,0.18
"Arkansas","CO",0.15,,,,0.88,3.34,2.62,,17.77,6.52,31.41,19.22,30.96,154.19,107.59,83.32,143.5,166.4,122.61,36.81,118.95,59.69,27.41,125.82,81.91,54.99,136.03,95.7,90.03,76.19,65.17,125.37,57.51
"Arkansas","NOx",0,,,,0.02,0.09,0.07,,0.45,0.16,0.77,0.49,0.79,3.93,2.73,2.12,3.64,4.23,3.11,0.94,3.01,1.5,0.69,3.19,2.08,1.4,3.43,2.42,2.28,1.93,1.66,3.16,1.46
"California","CH4",9.82,1.63,11.92,2.32,13.34,3.01,16.97,5.11,1.18,36.78,10.45,14.66,24.42,22.15,7.98,3.52,27.72,27.15,89.35,17.77,1.9,3.79,27.18,43.99,26.66,48.56,10.48,38.41,60.44,7.31,185.11,219.16,25.64
"California","N2O",0.71,0.11,0.78,0.15,0.84,0.18,1.09,0.34,0.08,2.28,0.63,0.9,1.46,1.32,0.52,0.22,1.66,1.63,5.2,1.1,0.12,0.25,1.59,2.55,1.59,3.08,0.6,2.43,4.05,0.45,10.93,12.63,1.6
"California","CO",200.43,33.72,243.84,49.43,275.88,61.68,351.16,105.48,24.48,764.37,214.29,302.15,508.28,464.55,165.37,73.15,579.98,563.8,1856.02,370.59,39.16,78.43,561.79,909.65,554.97,1005.6,214.79,800.07,1249.69,151.66,3807.82,4549.18,533.86
"California","NOx",5.94,0.71,5.75,0.85,5.49,1.09,7.21,2.43,0.58,14.05,4.09,5.77,8.34,7.14,3.61,1.36,9.23,9.69,28.29,6.73,0.81,1.75,9.15,14.17,9.17,20.2,3.43,15.38,28.9,2.7,65.34,68.39,9.9
"Colorado","CH4",0.06,,,0,0.57,0.04,0.94,0,0,0.01,1.83,0.63,25.12,1.35,0.17,0.72,1.44,0.22,0.22,0.58,0.57,0.99,7.36,15.78,1.61,0.05,5.79,1.94,18.28,1.83,22.23,4.33,3.61
