"State","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Alabama",,,,1.8,0.39,0.26,2.31,0.14,1.51,0.81,2.3,3.64,3.04,3.81,12.34,26.12,34.01,10.91,30.33,13.42,11.19,16.82,3.61,17.31,21.4,23.03,14.82,14.34,13.66,9.67,13.1,16.75,8.21
"Alaska",275.38,125.15,5.4,70.02,36.44,5.74,26.07,3.82,27.75,95.61,74.55,17.81,319.04,93.24,1066.26,620.43,16.64,36.28,8.14,364.38,39.16,18.23,7.57,190.84,2.38,637.17,22.49,32.12,49.85,215.15,4.05,43.14,363.75
"Arizona",4.71,0,0.7,11.19,11.92,11.48,28.87,2.82,12,20.85,13.85,9.76,70.8,28.44,24.81,9.59,25.2,9.51,12.3,22.25,9.25,92.46,8.26,5.34,26.22,15.28,29.25,40.79,38.57,25.59,26.76,26.99,11.41
"Arkansas",0.04,,,,0.25,0.78,0.6,,4.47,1.42,6.69,4.73,7.41,36.83,25.51,19.74,33.65,39.08,29.51,8.87,28.12,14.53,6.46,29.3,19.2,14.03,35.31,24.24,22.61,19.21,17.28,32.89,15.25
"California",33.01,4.36,35.91,5.55,38.24,5.86,40.74,13.14,3.48,101.21,29.62,38.98,57.18,52.38,23.22,8.96,75.87,71.48,205.98,42.89,4.69,9.74,67.49,100.51,74.08,144.15,31.86,117.94,201.77,25.26,483.01,516.58,72.3
"Colorado",0.42,,,0.01,2.44,0.34,5.4,0.01,0.02,0.05,9.88,3.41,91.5,4.48,0.79,3.07,6.91,0.86,1.44,4.03,3.01,5.93,39.59,40.64,3.75,0.38,23.25,7.05,73,5.93,110.78,10.62,9.24
"Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
"Delaware",,,,,,,,,,,,,0.02,,0.07,,,,,,,,,,,,,,,,,,
"Florida",14.66,17.97,28.03,12.86,18.8,10.78,17.42,12.78,82.24,53.27,32.09,32.58,15.01,23.31,63.23,37.15,69.24,148.94,96.19,97.81,82.3,99.96,57.89,49.83,48.46,43.07,35.8,59.82,66.51,39.96,37.25,43.58,33.11
"Georgia",12.67,0.71,1.67,3.98,2.35,2.13,2.96,3.76,8.46,6.56,6.15,8.28,44.51,9.53,24.08,14.01,19.28,130,19.42,10.52,16.46,95.45,7.65,21.88,20.55,14.73,28.46,58.5,13.6,13.46,6.74,11.04,15.45
"Hawaii",,,,,,,,,,,0,,0.08,1.1,,0,,0.57,,0.07,,,0.01,,,0,0.08,0.01,0.42,0.05,,0.02,0.01
