"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Alabama","Total Forest Land",9411.24,9409.12,9406.76,9404.39,9402.03,9399.67,9397.31,9394.95,9392.59,9389.95,9387.31,9384.67,9382.03,9379.39,9376.75,9374.11,9371.14,9368.16,9365.18,9362.21,9359.23,9356.25,9353.28,9349.28,9345.29,9341.3,9337.31,9333.32,9329.33,9349.85,9346.43,9343.01,9339.59,9336.17
"Alabama","FF",9387.23,9385.11,9382.8,9380.44,9378.08,9375.72,9373.35,9370.99,9368.63,9366.04,9363.4,9360.76,9358.12,9355.48,9352.84,9350.21,9347.28,9344.31,9341.33,9338.35,9335.38,9332.4,9329.42,9321.53,9317.54,9313.55,9309.56,9305.57,9301.58,9326.07,9322.65,9319.22,9315.8,9312.38
"Alabama","Total Land Converted to Forest Land",24,24,23.96,23.96,23.96,23.96,23.96,23.96,23.96,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.85,23.85,23.85,23.85,23.85,23.85,23.85,27.75,27.75,27.75,27.75,27.75,27.75,23.79,23.79,23.79,23.79,23.79
"Alabama","CF",6.48,6.48,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.45,6.45,6.45,6.45,6.45,6.45,6.45,6.44,6.44,6.44,6.44,6.44,6.44,6.44,7.49,7.49,7.49,7.49,7.49,7.49,6.42,6.42,6.42,6.42,6.42
"Alabama","GF",8.49,8.49,8.47,8.47,8.47,8.47,8.47,8.47,8.47,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.43,8.43,8.43,8.43,8.43,8.43,8.43,9.81,9.81,9.81,9.81,9.81,9.81,8.41,8.41,8.41,8.41,8.41
"Alabama","OF",0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.42,0.42,0.42,0.42,0.42,0.42,0.36,0.36,0.36,0.36,0.36
"Alabama","SF",7.62,7.62,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.57,7.57,7.57,7.57,7.57,7.57,7.57,8.81,8.81,8.81,8.81,8.81,8.81,7.55,7.55,7.55,7.55,7.55
"Alabama","WF",1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.23,1.23,1.23,1.23,1.23,1.23,1.05,1.05,1.05,1.05,1.05
"Alabama","Total Forest Land Converted to Land",26.12,26.12,26.32,26.32,26.32,26.32,26.32,26.32,26.32,26.55,26.55,26.55,26.55,26.55,26.55,26.55,26.83,26.83,26.83,26.83,26.83,26.83,26.83,31.74,31.74,31.74,31.74,31.74,31.74,27.21,27.21,27.21,27.21,27.21
"Alabama","FC",5.4,5.4,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.32,5.32,5.32,5.32,5.32,5.32,5.32,6.17,6.17,6.17,6.17,6.17,6.17,5.29,5.29,5.29,5.29,5.29
"Alabama","FG",7.85,7.85,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.19,7.19,7.19,7.19,7.19,7.19,7.19,8.07,8.07,8.07,8.07,8.07,8.07,6.91,6.91,6.91,6.91,6.91
"Alabama","FO",0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.45,0.45,0.45,0.45,0.45,0.45,0.38,0.38,0.38,0.38,0.38
"Alabama","FS",11,11,11.38,11.38,11.38,11.38,11.38,11.38,11.38,11.8,11.8,11.8,11.8,11.8,11.8,11.8,12.26,12.26,12.26,12.26,12.26,12.26,12.26,14.9,14.9,14.9,14.9,14.9,14.9,12.77,12.77,12.77,12.77,12.77
"Alabama","FW",1.76,1.76,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.84,1.84,1.84,1.84,1.84,1.84,1.84,2.16,2.16,2.16,2.16,2.16,2.16,1.85,1.85,1.85,1.85,1.85
"Alaska","Total Forest Land",30245.44,30254.76,30264.08,30273.4,30282.72,30292.04,30301.69,30311.33,30320.98,30330.63,30340.28,30349.92,30359.57,30369.22,30378.86,30388.51,30398.16,30407.42,30416.69,30425.96,30435.22,30444.49,30453.76,30463.02,30472.29,30481.55,30490.82,30500.09,30407.42,30416.69,30425.96,30435.22,30444.49,30453.76
"Alaska","FF",30231.06,30240.38,30249.7,30259.01,30268.33,30277.65,30286.93,30296.57,30306.22,30315.87,30325.52,30335.16,30344.81,30354.46,30364.1,30373.75,30383.4,30392.3,30401.57,30410.84,30420.1,30429.37,30438.63,30447.9,30457.17,30466.43,30475.7,30484.97,30392.3,30401.57,30410.84,30420.1,30429.37,30438.63
"Alaska","Total Land Converted to Forest Land",14.39,14.39,14.39,14.39,14.39,14.39,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.76,14.76,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12
"Alaska","CF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alaska","GF",10.27,10.27,10.27,10.27,10.27,10.27,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78
"Alaska","OF",0.8,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
"Alaska","SF",0.7,0.7,0.7,0.7,0.7,0.7,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
"Alaska","WF",2.61,2.61,2.61,2.61,2.61,2.61,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76
"Alaska","Total Forest Land Converted to Land",5.07,5.07,5.07,5.07,5.07,5.07,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86
"Alaska","FC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alaska","FG",4.03,4.03,4.03,4.03,4.03,4.03,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
"Alaska","FO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alaska","FS",0.51,0.51,0.51,0.51,0.51,0.51,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
"Alaska","FW",0.52,0.52,0.52,0.52,0.52,0.52,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
"Arizona","Total Forest Land",4411.33,4416.04,4420.76,4425.47,4430.18,4434.89,4440.31,4445.73,4451.15,4456.57,4461.99,4467.41,4472.83,4478.25,4483.67,4489.09,4495.36,4501.64,4507.92,4514.19,4520.47,4526.75,4533.02,4539.3,4545.58,4551.85,4495.36,4501.64,4507.92,4514.19,4520.47,4526.75,4533.02,4539.3
"Arizona","FF",4373.78,4378.49,4383.2,4387.92,4392.63,4397.34,4402.28,4407.7,4413.12,4418.54,4423.96,4429.38,4434.8,4440.21,4445.63,4451.05,4456.77,4463.04,4469.32,4475.6,4481.87,4488.15,4494.42,4500.7,4506.98,4513.25,4456.77,4463.04,4469.32,4475.6,4481.87,4488.15,4494.42,4500.7
"Arizona","Total Land Converted to Forest Land",37.55,37.55,37.55,37.55,37.55,37.55,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6,38.6
"Arizona","CF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona","GF",36.84,36.84,36.84,36.84,36.84,36.84,37.32,37.32,37.32,37.32,37.32,37.32,37.32,37.32,37.32,37.32,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88,37.88
"Arizona","OF",0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
"Arizona","SF",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
"Arizona","WF",0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
"Arizona","Total Forest Land Converted to Land",32.84,32.84,32.84,32.84,32.84,32.84,32.61,32.61,32.61,32.61,32.61,32.61,32.61,32.61,32.61,32.61,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32,32.32
"Arizona","FC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona","FG",32.4,32.4,32.4,32.4,32.4,32.4,32.19,32.19,32.19,32.19,32.19,32.19,32.19,32.19,32.19,32.19,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92,31.92
"Arizona","FO",0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
"Arizona","FS",0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
"Arizona","FW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona","Total Woodlands Remaining Woodlands",3010.08,3007.08,3004.08,3001.09,2998.09,2995.1,2991.75,2987.9,2984.05,2980.2,2976.35,2972.5,2968.65,2964.8,2960.95,2957.09,2952.82,2947.88,2942.95,2938.01,2933.07,2928.14,2923.2,2918.27,2913.33,2908.39,2952.82,2947.88,2942.95,2938.01,2933.07,2928.14,2923.2,2918.27
"Arkansas","Total Forest Land",7872.82,7866.34,7859.86,7853.39,7846.91,7839.91,7832.9,7825.9,7818.9,7811.89,7804.3,7796.71,7789.12,7781.54,7773.95,7765.7,7757.45,7749.2,7740.96,7732.71,7723.68,7714.66,7705.64,7696.61,7687.59,7677.55,7667.52,7657.48,7647.44,7637.41,7677.55,7667.52,7657.48,7647.44
"Arkansas","FF",7852.56,7846.08,7839.61,7833.13,7826.65,7819.74,7812.74,7805.74,7798.73,7791.73,7784.24,7776.65,7769.06,7761.47,7753.88,7745.75,7737.5,7729.25,7721,7712.76,7703.85,7694.83,7685.81,7676.78,7667.76,7657.86,7647.82,7637.78,7627.75,7617.71,7657.86,7647.82,7637.78,7627.75
"Arkansas","Total Land Converted to Forest Land",20.26,20.26,20.26,20.26,20.26,20.16,20.16,20.16,20.16,20.16,20.06,20.06,20.06,20.06,20.06,19.95,19.95,19.95,19.95,19.95,19.83,19.83,19.83,19.83,19.83,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7
"Arkansas","CF",5.11,5.11,5.11,5.11,5.11,5.08,5.08,5.08,5.08,5.08,5.06,5.06,5.06,5.06,5.06,5.03,5.03,5.03,5.03,5.03,5,5,5,5,5,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97
"Arkansas","GF",7.06,7.06,7.06,7.06,7.06,7.03,7.03,7.03,7.03,7.03,6.99,6.99,6.99,6.99,6.99,6.95,6.95,6.95,6.95,6.95,6.91,6.91,6.91,6.91,6.91,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86
"Arkansas","OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arkansas","SF",7.37,7.37,7.37,7.37,7.37,7.33,7.33,7.33,7.33,7.33,7.3,7.3,7.3,7.3,7.3,7.26,7.26,7.26,7.26,7.26,7.21,7.21,7.21,7.21,7.21,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16
"Arkansas","WF",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
"Arkansas","Total Forest Land Converted to Land",26.73,26.73,26.73,26.73,26.73,27.17,27.17,27.17,27.17,27.17,27.65,27.65,27.65,27.65,27.65,28.2,28.2,28.2,28.2,28.2,28.85,28.85,28.85,28.85,28.85,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73,29.73
"Arkansas","FC",2.64,2.64,2.64,2.64,2.64,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.62,2.62,2.62,2.62,2.62,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61
"Arkansas","FG",13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.05,13.03,13.03,13.03,13.03,13.03,13,13,13,13,13,13,13,13,13
"Arkansas","FO",0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.06,0.06,0.06,0.06,0.06,0.17,0.17,0.17,0.17,0.17,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
"Arkansas","FS",9.56,9.56,9.56,9.56,9.56,9.95,9.95,9.95,9.95,9.95,10.37,10.37,10.37,10.37,10.37,10.84,10.84,10.84,10.84,10.84,11.36,11.36,11.36,11.36,11.36,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94,11.94
"Arkansas","FW",1.49,1.49,1.49,1.49,1.49,1.53,1.53,1.53,1.53,1.53,1.58,1.58,1.58,1.58,1.58,1.63,1.63,1.63,1.63,1.63,1.68,1.68,1.68,1.68,1.68,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
"California","Total Forest Land",13003.07,12979.24,12955.4,12931.57,12907.73,12883.9,12859.37,12834.85,12810.32,12785.79,12761.27,12736.74,12712.21,12687.69,12663.16,12638.63,12612.83,12587.03,12561.23,12535.43,12509.63,12483.83,12458.03,12432.23,12406.43,12380.63,12612.83,12587.03,12561.23,12535.43,12509.63,12483.83,12458.03,12432.23
"California","FF",12967.16,12943.33,12919.5,12895.66,12871.83,12848,12824.15,12799.62,12775.09,12750.57,12726.04,12701.51,12676.99,12652.46,12627.93,12603.4,12578.32,12552.52,12526.72,12500.92,12475.12,12449.32,12423.52,12397.72,12371.92,12346.12,12578.32,12552.52,12526.72,12500.92,12475.12,12449.32,12423.52,12397.72
"California","Total Land Converted to Forest Land",35.91,35.91,35.91,35.91,35.91,35.91,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51
"California","CF",0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
"California","GF",29.81,29.81,29.81,29.81,29.81,29.81,29.24,29.24,29.24,29.24,29.24,29.24,29.24,29.24,29.24,29.24,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65
"California","OF",2.08,2.08,2.08,2.08,2.08,2.08,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99
"California","SF",3.58,3.58,3.58,3.58,3.58,3.58,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45
"California","WF",0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
"California","Total Forest Land Converted to Land",59.74,59.74,59.74,59.74,59.74,59.74,59.75,59.75,59.75,59.75,59.75,59.75,59.75,59.75,59.75,59.75,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31,60.31
"California","FC",0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
"California","FG",48.85,48.85,48.85,48.85,48.85,48.85,47.71,47.71,47.71,47.71,47.71,47.71,47.71,47.71,47.71,47.71,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88,45.88
"California","FO",3.51,3.51,3.51,3.51,3.51,3.51,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15
"California","FS",6.15,6.15,6.15,6.15,6.15,6.15,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02
"California","FW",1.17,1.17,1.17,1.17,1.17,1.17,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21
