"State","Carbon Pools","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Arizona","Total Woodland Ecosystem",271.54,271.42,271.31,271.2,271.08,270.97,270.86,270.74,270.63,270.52,270.41,270.29,270.18,270.07,269.96,269.85,269.73,269.62,269.51,269.4,269.29,269.18,269.07,268.96,268.85,268.74,268.63,268.52,268.41,268.3,268.19,268.08,267.97,267.87
"Arizona","Aboveground Biomass",17.05,17.13,17.21,17.29,17.36,17.44,17.52,17.59,17.67,17.75,17.82,17.9,17.98,18.05,18.13,18.2,18.28,18.36,18.43,18.51,18.58,18.66,18.73,18.81,18.88,18.96,19.03,19.11,19.18,19.26,19.33,19.4,19.48,19.55
"Arizona","Belowground Biomass",2.59,2.6,2.61,2.62,2.64,2.65,2.66,2.67,2.68,2.7,2.71,2.72,2.73,2.74,2.76,2.77,2.78,2.79,2.8,2.82,2.83,2.84,2.85,2.86,2.88,2.89,2.9,2.91,2.92,2.94,2.95,2.96,2.97,2.98
"Arizona","Dead Wood",9.44,9.23,9.03,8.82,8.61,8.4,8.2,7.99,7.78,7.58,7.37,7.17,6.96,6.75,6.55,6.35,6.14,5.94,5.73,5.53,5.33,5.12,4.92,4.72,4.52,4.32,4.12,3.92,3.72,3.52,3.32,3.12,2.92,2.72
"Arizona","Litter",6.77,6.77,6.78,6.79,6.8,6.8,6.81,6.82,6.83,6.83,6.84,6.85,6.85,6.86,6.87,6.88,6.88,6.89,6.9,6.9,6.91,6.92,6.93,6.93,6.94,6.95,6.95,6.96,6.97,6.97,6.98,6.99,7,7
"Arizona","Soil (Mineral)",235.69,235.68,235.68,235.68,235.68,235.68,235.67,235.67,235.67,235.67,235.66,235.66,235.66,235.66,235.65,235.65,235.65,235.65,235.64,235.64,235.64,235.64,235.63,235.63,235.63,235.63,235.63,235.62,235.62,235.62,235.62,235.61,235.61,235.61
"Arizona","Soil (Organic)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California","Total Woodland Ecosystem",22.4,22.36,22.33,22.3,22.27,22.23,22.2,22.17,22.14,22.11,22.09,22.06,22.03,22,21.98,21.95,21.93,21.91,21.88,21.86,21.84,21.82,21.8,21.79,21.77,21.75,21.74,21.72,21.71,21.69,21.68,21.67,21.65,21.64
"California","Aboveground Biomass",1.09,1.1,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.2,1.21,1.21,1.22,1.23,1.24,1.25,1.25,1.26,1.27,1.27,1.28,1.29,1.29,1.3,1.3,1.31,1.31,1.32,1.32,1.32,1.33,1.33
"California","Belowground Biomass",0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
"California","Dead Wood",1.02,0.98,0.94,0.9,0.86,0.82,0.79,0.75,0.72,0.68,0.65,0.62,0.58,0.55,0.52,0.49,0.47,0.44,0.41,0.39,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.19,0.17,0.15,0.14,0.12
