Flux_ID,State_ID,Pool_ID,Year,Unit,Value
1,Alabama,Total Forest Ecosystem,1990,MMT CO2 Eq.,-49.97
2,Alabama,Total Forest Ecosystem,1991,MMT CO2 Eq.,-49.97
3,Alabama,Total Forest Ecosystem,1992,MMT CO2 Eq.,-49.96
4,Alabama,Total Forest Ecosystem,1993,MMT CO2 Eq.,-49.96
5,Alabama,Total Forest Ecosystem,1994,MMT CO2 Eq.,-49.96
6,Alabama,Total Forest Ecosystem,1995,MMT CO2 Eq.,-49.96
7,Alabama,Total Forest Ecosystem,1996,MMT CO2 Eq.,-49.96
8,Alabama,Total Forest Ecosystem,1997,MMT CO2 Eq.,-49.96
9,Alabama,Total Forest Ecosystem,1998,MMT CO2 Eq.,-49.54
10,Alabama,Total Forest Ecosystem,1999,MMT CO2 Eq.,-49.12
11,Alabama,Total Forest Ecosystem,2000,MMT CO2 Eq.,-48.69
12,Alabama,Total Forest Ecosystem,2001,MMT CO2 Eq.,-48.27
13,Alabama,Total Forest Ecosystem,2002,MMT CO2 Eq.,-47.84
14,Alabama,Total Forest Ecosystem,2003,MMT CO2 Eq.,-47.42
15,Alabama,Total Forest Ecosystem,2004,MMT CO2 Eq.,-47
16,Alabama,Total Forest Ecosystem,2005,MMT CO2 Eq.,-47.29
17,Alabama,Total Forest Ecosystem,2006,MMT CO2 Eq.,-47.59
18,Alabama,Total Forest Ecosystem,2007,MMT CO2 Eq.,-47.89
19,Alabama,Total Forest Ecosystem,2008,MMT CO2 Eq.,-48.19
20,Alabama,Total Forest Ecosystem,2009,MMT CO2 Eq.,-48.49
21,Alabama,Total Forest Ecosystem,2010,MMT CO2 Eq.,-48.79
22,Alabama,Total Forest Ecosystem,2011,MMT CO2 Eq.,-49.09
23,Alabama,Total Forest Ecosystem,2012,MMT CO2 Eq.,-49.71
24,Alabama,Total Forest Ecosystem,2013,MMT CO2 Eq.,-50.33
25,Alabama,Total Forest Ecosystem,2014,MMT CO2 Eq.,-50.94
26,Alabama,Total Forest Ecosystem,2015,MMT CO2 Eq.,-51.56
27,Alabama,Total Forest Ecosystem,2016,MMT CO2 Eq.,-52.18
28,Alabama,Total Forest Ecosystem,2017,MMT CO2 Eq.,-52.8
29,Alabama,Total Forest Ecosystem,2018,MMT CO2 Eq.,-52.1
30,Alabama,Total Forest Ecosystem,2019,MMT CO2 Eq.,-51.41
31,Alabama,Total Forest Ecosystem,2020,MMT CO2 Eq.,-50.71
32,Alabama,Total Forest Ecosystem,2021,MMT CO2 Eq.,-50.02
33,Alabama,Total Forest Ecosystem,2022,MMT CO2 Eq.,-49.32
34,Alabama,Aboveground Biomass,1990,MMT CO2 Eq.,-37.22
35,Alabama,Aboveground Biomass,1991,MMT CO2 Eq.,-37.22
36,Alabama,Aboveground Biomass,1992,MMT CO2 Eq.,-37.22
37,Alabama,Aboveground Biomass,1993,MMT CO2 Eq.,-37.22
38,Alabama,Aboveground Biomass,1994,MMT CO2 Eq.,-37.22
39,Alabama,Aboveground Biomass,1995,MMT CO2 Eq.,-37.22
40,Alabama,Aboveground Biomass,1996,MMT CO2 Eq.,-37.22
41,Alabama,Aboveground Biomass,1997,MMT CO2 Eq.,-37.21
42,Alabama,Aboveground Biomass,1998,MMT CO2 Eq.,-36.88
43,Alabama,Aboveground Biomass,1999,MMT CO2 Eq.,-36.55
44,Alabama,Aboveground Biomass,2000,MMT CO2 Eq.,-36.22
45,Alabama,Aboveground Biomass,2001,MMT CO2 Eq.,-35.89
46,Alabama,Aboveground Biomass,2002,MMT CO2 Eq.,-35.56
47,Alabama,Aboveground Biomass,2003,MMT CO2 Eq.,-35.23
48,Alabama,Aboveground Biomass,2004,MMT CO2 Eq.,-34.89
49,Alabama,Aboveground Biomass,2005,MMT CO2 Eq.,-35.1
50,Alabama,Aboveground Biomass,2006,MMT CO2 Eq.,-35.31
51,Alabama,Aboveground Biomass,2007,MMT CO2 Eq.,-35.51
52,Alabama,Aboveground Biomass,2008,MMT CO2 Eq.,-35.72
53,Alabama,Aboveground Biomass,2009,MMT CO2 Eq.,-35.93
54,Alabama,Aboveground Biomass,2010,MMT CO2 Eq.,-36.13
55,Alabama,Aboveground Biomass,2011,MMT CO2 Eq.,-36.34
56,Alabama,Aboveground Biomass,2012,MMT CO2 Eq.,-36.78
57,Alabama,Aboveground Biomass,2013,MMT CO2 Eq.,-37.23
58,Alabama,Aboveground Biomass,2014,MMT CO2 Eq.,-37.68
59,Alabama,Aboveground Biomass,2015,MMT CO2 Eq.,-38.12
60,Alabama,Aboveground Biomass,2016,MMT CO2 Eq.,-38.57
61,Alabama,Aboveground Biomass,2017,MMT CO2 Eq.,-39.01
62,Alabama,Aboveground Biomass,2018,MMT CO2 Eq.,-38.51
63,Alabama,Aboveground Biomass,2019,MMT CO2 Eq.,-38
64,Alabama,Aboveground Biomass,2020,MMT CO2 Eq.,-37.5
65,Alabama,Aboveground Biomass,2021,MMT CO2 Eq.,-36.99
66,Alabama,Aboveground Biomass,2022,MMT CO2 Eq.,-36.48
67,Alabama,Belowground Biomass,1990,MMT CO2 Eq.,-7.36
