Stock_ID,State_ID,Pool_ID,Year,Value
1,Alabama,Total Forest Ecosystem,1990,1178.35
2,Alabama,Total Forest Ecosystem,1991,1191.98
3,Alabama,Total Forest Ecosystem,1992,1205.61
4,Alabama,Total Forest Ecosystem,1993,1219.24
5,Alabama,Total Forest Ecosystem,1994,1232.86
6,Alabama,Total Forest Ecosystem,1995,1246.49
7,Alabama,Total Forest Ecosystem,1996,1260.12
8,Alabama,Total Forest Ecosystem,1997,1273.74
9,Alabama,Total Forest Ecosystem,1998,1287.37
10,Alabama,Total Forest Ecosystem,1999,1300.88
11,Alabama,Total Forest Ecosystem,2000,1314.27
12,Alabama,Total Forest Ecosystem,2001,1327.55
13,Alabama,Total Forest Ecosystem,2002,1340.72
14,Alabama,Total Forest Ecosystem,2003,1353.77
15,Alabama,Total Forest Ecosystem,2004,1366.7
16,Alabama,Total Forest Ecosystem,2005,1379.51
17,Alabama,Total Forest Ecosystem,2006,1392.41
18,Alabama,Total Forest Ecosystem,2007,1405.39
19,Alabama,Total Forest Ecosystem,2008,1418.46
20,Alabama,Total Forest Ecosystem,2009,1431.6
21,Alabama,Total Forest Ecosystem,2010,1444.82
22,Alabama,Total Forest Ecosystem,2011,1458.13
23,Alabama,Total Forest Ecosystem,2012,1471.52
24,Alabama,Total Forest Ecosystem,2013,1485.08
25,Alabama,Total Forest Ecosystem,2014,1498.8
26,Alabama,Total Forest Ecosystem,2015,1512.69
27,Alabama,Total Forest Ecosystem,2016,1526.76
28,Alabama,Total Forest Ecosystem,2017,1540.99
29,Alabama,Total Forest Ecosystem,2018,1555.39
30,Alabama,Total Forest Ecosystem,2019,1569.6
31,Alabama,Total Forest Ecosystem,2020,1583.62
32,Alabama,Total Forest Ecosystem,2021,1597.45
33,Alabama,Total Forest Ecosystem,2022,1611.09
34,Alabama,Total Forest Ecosystem,2023,1624.54
35,Alabama,Aboveground Biomass,1990,297.31
36,Alabama,Aboveground Biomass,1991,307.46
37,Alabama,Aboveground Biomass,1992,317.61
38,Alabama,Aboveground Biomass,1993,327.76
39,Alabama,Aboveground Biomass,1994,337.91
40,Alabama,Aboveground Biomass,1995,348.06
41,Alabama,Aboveground Biomass,1996,358.21
42,Alabama,Aboveground Biomass,1997,368.36
43,Alabama,Aboveground Biomass,1998,378.51
44,Alabama,Aboveground Biomass,1999,388.56
45,Alabama,Aboveground Biomass,2000,398.53
46,Alabama,Aboveground Biomass,2001,408.41
47,Alabama,Aboveground Biomass,2002,418.2
48,Alabama,Aboveground Biomass,2003,427.9
49,Alabama,Aboveground Biomass,2004,437.5
50,Alabama,Aboveground Biomass,2005,447.02
51,Alabama,Aboveground Biomass,2006,456.59
52,Alabama,Aboveground Biomass,2007,466.22
53,Alabama,Aboveground Biomass,2008,475.91
54,Alabama,Aboveground Biomass,2009,485.65
55,Alabama,Aboveground Biomass,2010,495.45
56,Alabama,Aboveground Biomass,2011,505.3
57,Alabama,Aboveground Biomass,2012,515.21
58,Alabama,Aboveground Biomass,2013,525.25
59,Alabama,Aboveground Biomass,2014,535.4
60,Alabama,Aboveground Biomass,2015,545.67
61,Alabama,Aboveground Biomass,2016,556.07
62,Alabama,Aboveground Biomass,2017,566.59
63,Alabama,Aboveground Biomass,2018,577.23
64,Alabama,Aboveground Biomass,2019,587.73
65,Alabama,Aboveground Biomass,2020,598.1
66,Alabama,Aboveground Biomass,2021,608.32
67,Alabama,Aboveground Biomass,2022,618.41
68,Alabama,Aboveground Biomass,2023,628.36
69,Alabama,Belowground Biomass,1990,50.87
70,Alabama,Belowground Biomass,1991,52.88
71,Alabama,Belowground Biomass,1992,54.89
72,Alabama,Belowground Biomass,1993,56.89
73,Alabama,Belowground Biomass,1994,58.9
74,Alabama,Belowground Biomass,1995,60.9
75,Alabama,Belowground Biomass,1996,62.9
76,Alabama,Belowground Biomass,1997,64.9
77,Alabama,Belowground Biomass,1998,66.9
78,Alabama,Belowground Biomass,1999,68.89
79,Alabama,Belowground Biomass,2000,70.85
80,Alabama,Belowground Biomass,2001,72.8
81,Alabama,Belowground Biomass,2002,74.74
82,Alabama,Belowground Biomass,2003,76.66
83,Alabama,Belowground Biomass,2004,78.56
84,Alabama,Belowground Biomass,2005,80.45
85,Alabama,Belowground Biomass,2006,82.35
86,Alabama,Belowground Biomass,2007,84.28
87,Alabama,Belowground Biomass,2008,86.22
88,Alabama,Belowground Biomass,2009,88.18
89,Alabama,Belowground Biomass,2010,90.15
90,Alabama,Belowground Biomass,2011,92.15
91,Alabama,Belowground Biomass,2012,94.16
92,Alabama,Belowground Biomass,2013,96.2
93,Alabama,Belowground Biomass,2014,98.28
